starttime,endtime,logreturn,score
"2016-12-03 00:50:00","2016-12-03 01:50:00",-0.0556,0.7681
"2016-12-03 01:50:00","2016-12-05 09:20:00",0,0.6708
"2016-12-05 09:20:00","2016-12-05 10:35:00",-0.4086,0.1634
"2016-12-05 10:35:00","2016-12-05 13:35:00",0.1859,0.7759
"2016-12-05 13:35:00","2016-12-05 14:35:00",-0.0186,0.8653
"2016-12-05 14:35:00","2016-12-05 21:30:00",-0.4656,0.6791
"2016-12-05 21:30:00","2016-12-05 22:30:00",0.0187,0.6112
"2016-12-05 22:30:00","2016-12-05 23:30:00",-0.112,0.7997
"2016-12-05 23:30:00","2016-12-06 00:30:00",0.2612,0.7197
"2016-12-06 00:30:00","2016-12-06 01:30:00",0.1118,0.4718
"2016-12-06 01:30:00","2016-12-06 09:00:00",0.316,0.6583
"2016-12-06 09:00:00","2016-12-06 10:00:00",-0.2601,0.8037
"2016-12-06 10:00:00","2016-12-06 11:15:00",-0.0372,0.6477
"2016-12-06 11:15:00","2016-12-06 14:15:00",-0.2236,0.7363
"2016-12-06 14:15:00","2016-12-06 21:10:00",0.0932,0.6209
"2016-12-06 21:10:00","2016-12-06 22:10:00",-0.0559,0.6852
"2016-12-06 22:10:00","2016-12-06 23:10:00",0.0559,0.7154
"2016-12-06 23:10:00","2016-12-07 00:10:00",0.0559,0.6439
"2016-12-07 00:10:00","2016-12-07 01:10:00",-0.2424,0.981
"2016-12-07 01:10:00","2016-12-07 02:10:00",0.0373,0.8859
"2016-12-07 02:10:00","2016-12-07 09:40:00",-0.0373,0.7255
"2016-12-07 09:40:00","2016-12-07 10:55:00",0.056,0.958
"2016-12-07 10:55:00","2016-12-07 13:55:00",-0.0933,0.8059
"2016-12-07 13:55:00","2016-12-07 14:55:00",0,0.7978
"2016-12-07 14:55:00","2016-12-07 21:50:00",0.5588,0.6579
"2016-12-07 21:50:00","2016-12-07 22:50:00",0.4633,0.5921
"2016-12-07 22:50:00","2016-12-07 23:50:00",-0.111,0.5329
"2016-12-07 23:50:00","2016-12-08 00:50:00",-0.0555,0.4796
"2016-12-08 00:50:00","2016-12-08 01:50:00",-0.0926,0.4316
"2016-12-08 01:50:00","2016-12-08 09:20:00",-0.1113,0.7246
"2016-12-08 09:20:00","2016-12-08 10:35:00",0.1669,0.7067
"2016-12-08 10:35:00","2016-12-08 13:35:00",0.037,0.7548
"2016-12-08 13:35:00","2016-12-08 14:35:00",-0.037,0.589
"2016-12-08 14:35:00","2016-12-08 21:30:00",-0.0371,0.7112
"2016-12-08 21:30:00","2016-12-08 22:30:00",-0.0741,0.6401
"2016-12-08 22:30:00","2016-12-08 23:30:00",0.0741,0.5761
"2016-12-08 23:30:00","2016-12-09 00:30:00",-0.0556,0.5185
"2016-12-09 00:30:00","2016-12-09 01:30:00",-0.0371,0.4666
"2016-12-09 01:30:00","2016-12-09 09:00:00",-0.1485,0.4199
"2016-12-09 09:00:00","2016-12-09 10:00:00",-0.2046,0.3779
"2016-12-09 10:00:00","2016-12-09 11:15:00",0.1116,0.3401
"2016-12-09 11:15:00","2016-12-09 14:15:00",0.2229,0.3061
"2016-12-09 14:15:00","2016-12-09 21:10:00",-0.2787,0.2755
"2016-12-09 21:10:00","2016-12-09 22:10:00",0.1116,0.248
"2016-12-09 22:10:00","2016-12-09 23:10:00",-0.186,0.2232
"2016-12-09 23:10:00","2016-12-10 00:10:00",0.0372,0.9607
"2016-12-10 00:10:00","2016-12-10 01:10:00",-0.1676,0.9943
"2016-12-10 01:10:00","2016-12-10 02:10:00",0.0932,0.8949
"2016-12-10 02:10:00","2016-12-12 09:40:00",-0.2798,0.6422
"2016-12-12 09:40:00","2016-12-12 10:55:00",0.2052,0.4162
"2016-12-12 10:55:00","2016-12-12 13:55:00",-0.0932,0.7523
"2016-12-12 13:55:00","2016-12-12 14:55:00",-0.0187,0.663
"2016-12-12 14:55:00","2016-12-12 21:50:00",0.0933,0.701
"2016-12-12 21:50:00","2016-12-12 22:50:00",0,0.6309
"2016-12-12 22:50:00","2016-12-12 23:50:00",0.0559,0.5678
"2016-12-12 23:50:00","2016-12-13 00:50:00",0.1489,0.8828
"2016-12-13 00:50:00","2016-12-13 01:50:00",0.1116,0.5775
"2016-12-13 01:50:00","2016-12-13 09:20:00",-0.2232,0.5805
"2016-12-13 09:20:00","2016-12-13 10:35:00",0.1117,0.7741
"2016-12-13 10:35:00","2016-12-13 13:35:00",-0.0745,0.6178
"2016-12-13 13:35:00","2016-12-13 14:35:00",-0.0559,0.8196
"2016-12-13 14:35:00","2016-12-13 21:30:00",0.279,0.6764
"2016-12-13 21:30:00","2016-12-13 22:30:00",-0.0372,0.6088
"2016-12-13 22:30:00","2016-12-13 23:30:00",-0.3724,0.5479
"2016-12-13 23:30:00","2016-12-14 00:30:00",0.1677,0.9635
"2016-12-14 00:30:00","2016-12-14 01:30:00",-0.0932,0.8672
"2016-12-14 01:30:00","2016-12-14 09:00:00",0.1304,0.6884
"2016-12-14 09:00:00","2016-12-14 10:00:00",0.0744,0.6698
"2016-12-14 10:00:00","2016-12-14 11:15:00",-0.0186,0.7805
"2016-12-14 11:15:00","2016-12-14 14:15:00",0.1487,0.6572
"2016-12-14 14:15:00","2016-12-14 21:10:00",-0.1301,0.6169
"2016-12-14 21:10:00","2016-12-14 22:10:00",0.4825,0.9493
"2016-12-14 22:10:00","2016-12-14 23:10:00",0.0555,0.8544
"2016-12-14 23:10:00","2016-12-15 00:10:00",-0.0185,0.769
"2016-12-15 00:10:00","2016-12-15 01:10:00",0.0555,0.6921
"2016-12-15 01:10:00","2016-12-15 02:10:00",-0.074,0.6229
"2016-12-15 02:10:00","2016-12-15 09:40:00",-1.2478,0.5242
"2016-12-15 09:40:00","2016-12-15 10:55:00",0.2246,0.616
"2016-12-15 10:55:00","2016-12-15 13:55:00",-0.2621,0.637
"2016-12-15 13:55:00","2016-12-15 14:55:00",0.0937,0.8017
"2016-12-15 14:55:00","2016-12-15 21:50:00",-0.6012,0.6629
"2016-12-15 21:50:00","2016-12-15 22:50:00",0,0.5966
"2016-12-15 22:50:00","2016-12-15 23:50:00",0.0188,0.5369
"2016-12-15 23:50:00","2016-12-16 00:50:00",-0.132,0.4832
"2016-12-16 00:50:00","2016-12-16 01:50:00",0.1508,0.4349
"2016-12-16 01:50:00","2016-12-16 09:20:00",0.0565,0.6804
"2016-12-16 09:20:00","2016-12-16 10:35:00",-0.0188,0.6395
"2016-12-16 10:35:00","2016-12-16 13:35:00",-0.0188,0.6966
"2016-12-16 13:35:00","2016-12-16 14:35:00",0,0.6913
"2016-12-16 14:35:00","2016-12-16 21:30:00",-0.0565,0.7071
"2016-12-16 21:30:00","2016-12-16 22:30:00",-0.0189,0.6364
"2016-12-16 22:30:00","2016-12-16 23:30:00",0.0189,0.5728
"2016-12-16 23:30:00","2016-12-17 00:30:00",0.2447,0.5155
"2016-12-17 00:30:00","2016-12-17 01:30:00",0.0376,0.4639
"2016-12-17 01:30:00","2016-12-19 09:00:00",0.0939,0.7721
"2016-12-19 09:00:00","2016-12-19 10:00:00",-0.0376,0.4236
"2016-12-19 10:00:00","2016-12-19 11:15:00",-0.0564,0.8842
"2016-12-19 11:15:00","2016-12-19 14:15:00",0.2065,0.7415
"2016-12-19 14:15:00","2016-12-19 21:10:00",-0.1313,0.7377
"2016-12-19 21:10:00","2016-12-19 22:10:00",0.0375,0.6639
"2016-12-19 22:10:00","2016-12-19 23:10:00",0.0375,0.5975
"2016-12-19 23:10:00","2016-12-20 00:10:00",0.0375,0.2687
"2016-12-20 00:10:00","2016-12-20 01:10:00",0.0187,0.0981
"2016-12-20 01:10:00","2016-12-20 02:10:00",-0.0187,0.9223
"2016-12-20 02:10:00","2016-12-20 09:40:00",-0.0188,0.6705
"2016-12-20 09:40:00","2016-12-20 10:55:00",-0.0563,0.8169
"2016-12-20 10:55:00","2016-12-20 13:55:00",-0.1691,0.8894
"2016-12-20 13:55:00","2016-12-20 14:55:00",-0.2636,0.8227
"2016-12-20 14:55:00","2016-12-20 21:50:00",-0.8519,0.6222
"2016-12-20 21:50:00","2016-12-20 22:50:00",-0.1332,0.56
"2016-12-20 22:50:00","2016-12-20 23:50:00",0.0761,0.3801
"2016-12-20 23:50:00","2016-12-21 00:50:00",0.171,1
"2016-12-21 00:50:00","2016-12-21 01:50:00",0.0949,0.9
"2016-12-21 01:50:00","2016-12-21 09:20:00",-0.2279,0.6462
"2016-12-21 09:20:00","2016-12-21 10:35:00",0.5877,0.8857
"2016-12-21 10:35:00","2016-12-21 13:35:00",0.1322,0.7566
"2016-12-21 13:35:00","2016-12-21 14:35:00",0.0566,0.6809
"2016-12-21 14:35:00","2016-12-21 21:30:00",-0.0944,0.7179
"2016-12-21 21:30:00","2016-12-21 22:30:00",-0.0567,0.6461
"2016-12-21 22:30:00","2016-12-21 23:30:00",-0.1513,0.5815
"2016-12-21 23:30:00","2016-12-22 00:30:00",-0.0947,0.5233
"2016-12-22 00:30:00","2016-12-22 01:30:00",0.0379,0.471
"2016-12-22 01:30:00","2016-12-22 09:00:00",-0.0568,0.7282
"2016-12-22 09:00:00","2016-12-22 10:00:00",0.0758,0.7042
"2016-12-22 10:00:00","2016-12-22 11:15:00",-0.1895,0.7899
"2016-12-22 11:15:00","2016-12-22 14:15:00",-0.1139,0.8906
"2016-12-22 14:15:00","2016-12-22 21:10:00",-0.2281,0.6759
"2016-12-22 21:10:00","2016-12-22 22:10:00",0.0951,0.9167
"2016-12-22 22:10:00","2016-12-22 23:10:00",0.4932,0.825
"2016-12-22 23:10:00","2016-12-23 00:10:00",-0.1515,0.7425
"2016-12-23 00:10:00","2016-12-23 01:10:00",-0.1327,0.6683
"2016-12-23 01:10:00","2016-12-23 02:10:00",-0.0569,0.6015
"2016-12-23 02:10:00","2016-12-23 09:40:00",0.1897,0.7176
"2016-12-23 09:40:00","2016-12-23 10:55:00",0,0.5747
"2016-12-23 10:55:00","2016-12-23 13:55:00",0.0189,0.8195
"2016-12-23 13:55:00","2016-12-23 14:55:00",-0.1327,0.5667
"2016-12-23 14:55:00","2016-12-23 21:50:00",0.0569,0.7812
"2016-12-23 21:50:00","2016-12-23 22:50:00",0.1894,0.7031
"2016-12-23 22:50:00","2016-12-23 23:50:00",0.1135,0.6328
"2016-12-23 23:50:00","2016-12-24 00:50:00",-0.1324,0.9072
"2016-12-24 00:50:00","2016-12-24 01:50:00",0.0189,0.5411
"2016-12-24 01:50:00","2016-12-26 09:20:00",-0.0947,0.6764
